Time_s,Voltage_V,Current_mA,Power_mW
14.70,3.70,-0.10,144.00
14.70,3.70,2.80,128.00
14.73,3.70,1.40,6.00
14.76,3.70,-0.60,4.00
14.79,3.68,50.10,186.00
14.82,3.70,0.00,0.00
14.82,3.70,33.70,124.00
14.85,3.70,-0.10,4.00
14.88,3.70,-4.00,16.00
14.91,3.67,94.10,4.00
14.94,3.70,-2.60,14.00
14.94,3.70,24.30,88.00
14.97,3.70,-6.60,22.00
15.00,3.70,-7.40,26.00
15.03,3.68,72.30,268.00
15.06,3.70,-5.50,216.00
15.06,3.70,25.00,206.00
15.09,3.70,-10.30,40.00
15.12,3.70,-9.10,36.00
15.15,3.68,-1.80,6.00
15.18,3.70,-6.60,22.00
15.18,3.70,17.40,66.00
15.21,3.70,-10.80,40.00
15.24,3.70,-10.30,40.00
15.27,3.66,86.60,36.00
15.30,3.70,-11.50,98.00
15.30,3.70,-10.60,30.00
15.33,3.70,-9.60,40.00
15.36,3.70,-10.20,40.00
15.39,3.68,26.20,98.00
15.42,3.70,-7.00,26.00
15.42,3.71,7.90,30.00
15.45,3.70,-9.30,36.00
15.48,3.70,-7.90,32.00
15.51,3.67,83.60,36.00
15.54,3.70,-7.60,0.00
15.54,3.70,-7.60,10.00
15.57,3.70,-10.30,40.00
15.60,3.70,-8.70,32.00
15.63,3.68,-3.00,10.00
15.66,3.70,-5.90,22.00
15.66,3.70,8.40,30.00
15.69,3.70,-6.60,26.00
15.72,3.70,-8.20,32.00
15.75,3.67,94.40,22.00
15.78,3.70,-4.50,16.00
15.78,3.70,7.40,26.00
15.81,3.70,-4.40,16.00
15.84,3.70,-5.60,20.00
15.87,3.66,11.60,16.00
15.90,3.70,-2.70,186.00
15.90,3.70,14.10,200.00
15.93,3.70,-1.60,6.00
15.96,3.70,-0.50,6.00
15.99,3.68,-2.70,10.00
16.02,3.70,0.00,0.00
16.02,3.70,12.50,46.00
16.05,3.70,-0.90,4.00
16.08,3.70,-0.40,0.00
16.11,3.66,43.20,10.00
16.15,3.70,0.40,72.00
16.15,3.70,0.00,52.00
16.17,3.70,1.00,0.00
16.20,3.70,-2.10,6.00
16.23,3.68,0.10,0.00
16.26,3.70,-0.10,0.00
16.26,3.70,18.90,68.00
16.29,3.70,-0.50,4.00
16.32,3.70,-0.90,4.00
16.35,3.67,67.60,4.00
16.38,3.70,0.30,4.00
16.38,3.70,19.10,68.00
16.41,3.70,-4.00,16.00
16.44,3.70,-2.70,10.00
16.47,3.68,4.70,16.00
16.50,3.70,-1.90,6.00
16.50,3.70,24.70,206.00
16.53,3.70,-7.00,30.00
16.56,3.70,-6.10,22.00
16.59,3.68,-7.60,30.00
16.62,3.70,-6.10,22.00
16.62,3.70,18.20,66.00
16.65,3.70,-8.50,32.00
16.68,3.70,-8.50,32.00
16.74,3.66,20.30,22.00
16.74,3.70,-7.80,88.00
16.74,3.70,-8.70,68.00
16.77,3.71,-7.10,26.00
16.80,3.70,-5.80,26.00
16.83,3.68,-6.70,26.00
16.86,3.70,-4.50,16.00
16.86,3.70,24.90,92.00
16.89,3.70,-4.70,16.00
16.92,3.70,-1.70,6.00
16.95,3.66,53.40,10.00
16.98,3.70,0.10,26.00
16.98,3.70,4.00,124.00
17.01,3.70,4.80,16.00
17.04,3.70,5.20,20.00
17.07,3.68,10.40,40.00
17.10,3.70,10.50,40.00
17.10,3.69,0.10,0.00
17.13,3.70,43.90,206.00
17.16,3.70,11.70,42.00
17.19,3.66,104.20,52.00
17.22,3.70,16.20,96.00
17.22,3.70,13.80,52.00
17.25,3.70,15.30,56.00
17.28,3.70,14.80,56.00
17.31,3.68,27.70,102.00
17.34,3.69,17.70,348.00
17.34,3.69,18.10,68.00
17.37,3.70,17.20,62.00
17.40,3.69,55.70,0.00
17.43,3.68,42.40,158.00
17.46,3.70,18.10,66.00
17.46,3.70,17.60,66.00
17.49,3.70,15.40,56.00
17.52,3.69,15.30,56.00
17.55,3.66,55.40,56.00
17.58,3.70,13.30,216.00
17.58,3.70,14.30,52.00
17.61,3.70,14.40,50.00
17.64,3.70,11.50,42.00
17.67,3.67,-0.40,0.00
17.70,3.70,44.20,164.00
17.70,3.70,13.80,52.00
17.73,3.70,14.20,52.00
17.76,3.70,15.90,58.00
17.79,3.66,79.60,58.00
17.82,3.70,15.20,118.00
17.82,3.70,16.40,56.00
17.85,3.70,13.50,50.00
17.88,3.70,16.90,62.00
17.94,3.67,17.50,66.00
17.94,3.70,56.60,210.00
17.94,3.69,44.80,200.00
17.97,3.69,20.40,76.00
18.00,3.69,20.90,76.00
18.03,3.67,20.80,76.00
18.06,3.70,23.80,88.00
18.06,3.70,20.10,76.00
18.09,3.70,22.20,82.00
18.12,3.69,21.90,82.00
18.15,3.65,43.40,82.00
18.18,3.69,23.50,298.00
18.18,3.69,20.40,72.00
18.21,3.70,22.20,78.00
18.24,3.70,22.00,76.00
18.27,3.67,0.10,0.00
18.30,3.70,34.80,128.00
18.30,3.70,15.80,58.00
18.33,3.70,15.90,58.00
18.36,3.69,15.70,56.00
18.39,3.65,67.50,50.00
18.42,3.70,13.80,140.00
18.42,3.70,14.80,52.00
18.45,3.70,14.40,52.00
18.48,3.69,12.40,46.00
18.51,3.67,0.10,0.00
18.54,3.70,28.90,104.00
18.54,3.70,15.60,58.00
18.57,3.70,18.10,66.00
18.60,3.69,16.40,58.00
18.63,3.66,102.00,68.00
18.66,3.70,20.40,88.00
18.66,3.69,19.10,72.00
18.69,3.69,20.40,76.00
18.72,3.69,21.30,78.00
18.75,3.66,34.60,128.00
18.78,3.69,22.20,338.00
18.78,3.69,23.30,82.00
18.81,3.69,1.00,72.00
18.84,3.70,31.40,204.00
18.87,3.68,18.10,66.00
18.90,3.70,18.10,66.00
18.90,3.69,17.00,62.00
18.93,3.70,12.70,46.00
18.96,3.70,11.20,42.00
18.99,3.66,54.80,32.00
19.02,3.70,6.80,150.00
19.02,3.69,55.70,32.00
19.05,3.70,3.70,10.00
19.08,3.70,-0.10,0.00
19.11,3.68,1.00,4.00
19.14,3.70,-2.10,6.00
19.14,3.70,11.20,42.00
19.17,3.70,-6.60,22.00
19.20,3.70,-7.10,26.00
19.23,3.66,61.20,36.00
19.26,3.70,-9.70,20.00
19.26,3.70,-10.40,26.00
19.29,3.71,-13.60,50.00
19.32,3.70,-12.50,46.00
19.35,3.69,-3.50,14.00
19.38,3.70,-11.50,42.00
19.38,3.70,13.80,200.00
19.41,3.70,-9.90,36.00
19.44,3.70,-9.10,36.00
19.47,3.67,-8.20,30.00
19.47,3.70,-4.80,16.00
19.53,3.70,18.40,68.00
19.53,3.70,-2.00,6.00
19.56,3.70,-0.60,4.00
19.59,3.66,36.90,10.00
19.59,3.70,0.10,114.00
19.62,3.70,4.10,92.00
19.65,3.70,7.60,26.00
19.68,3.70,9.10,30.00
19.71,3.68,9.10,32.00
19.71,3.70,9.40,36.00
19.74,3.70,54.10,200.00
19.77,3.70,7.10,26.00
19.83,3.70,7.40,26.00
19.83,3.69,6.10,22.00
19.83,3.70,0.20,66.00
19.86,3.70,36.90,204.00
19.89,3.70,5.30,20.00
19.92,3.70,3.30,14.00
19.95,3.68,11.40,42.00
19.95,3.70,0.30,0.00
19.98,3.70,35.60,132.00
20.01,3.70,8.20,26.00
20.04,3.70,6.40,20.00
20.07,3.66,100.00,30.00
20.07,3.70,0.00,36.00
20.10,3.70,54.00,200.00
20.13,3.70,8.90,32.00
20.16,3.70,10.90,40.00
20.19,3.67,37.20,50.00
20.19,3.70,14.40,262.00
20.22,3.70,17.70,66.00
20.25,3.70,17.10,62.00
20.28,3.70,20.80,76.00
20.31,3.68,21.30,78.00
20.31,3.69,24.40,88.00
20.34,3.69,26.40,98.00
20.37,3.69,3.70,14.00
20.40,3.69,42.20,154.00
20.43,3.65,88.90,108.00
20.43,3.69,31.80,194.00
20.46,3.69,33.20,122.00
20.49,3.69,34.70,124.00
20.52,3.69,33.70,124.00
