Time_s,Voltage_V,Current_mA,Power_mW
10.17,3.66,130.70,472.00
10.17,3.68,53.10,196.00
10.20,3.68,52.80,194.00
10.26,3.68,53.00,194.00
10.26,3.68,53.70,196.00
10.29,3.66,132.50,462.00
10.29,3.68,53.70,196.00
10.32,3.68,55.00,200.00
10.35,3.68,55.50,200.00
10.38,3.68,52.40,194.00
10.41,3.66,129.10,472.00
10.41,3.68,52.30,194.00
10.44,3.68,53.30,196.00
10.47,3.68,55.70,204.00
10.50,3.68,52.80,190.00
10.53,3.66,132.30,472.00
10.53,3.68,55.10,200.00
10.56,3.68,52.40,194.00
10.59,3.68,54.20,200.00
10.62,3.68,53.50,196.00
10.65,3.66,132.10,482.00
10.65,3.68,55.30,204.00
10.68,3.68,52.60,190.00
10.71,3.68,54.30,200.00
10.74,3.68,54.00,200.00
10.77,3.66,127.60,466.00
10.77,3.68,53.70,196.00
10.80,3.68,53.50,196.00
10.83,3.68,53.90,196.00
10.86,3.68,54.20,200.00
10.89,3.66,132.10,472.00
10.89,3.68,55.40,196.00
10.95,3.68,52.90,194.00
10.95,3.68,53.30,196.00
10.98,3.68,52.50,194.00
11.01,3.67,131.40,478.00
11.01,3.68,55.10,200.00
11.04,3.68,53.50,196.00
11.07,3.68,54.90,200.00
11.10,3.68,55.50,200.00
11.13,3.66,128.00,468.00
11.13,3.68,54.60,200.00
11.16,3.68,52.50,194.00
11.19,3.67,53.60,196.00
11.25,3.68,55.20,204.00
11.28,3.66,130.90,462.00
11.28,3.68,54.40,200.00
11.28,3.68,54.00,200.00
11.31,3.68,52.20,194.00
11.34,3.68,53.90,196.00
11.37,3.66,130.90,478.00
11.37,3.68,53.90,196.00
11.41,3.68,55.20,200.00
11.43,3.68,53.40,194.00
11.46,3.68,54.30,200.00
11.49,3.66,129.00,472.00
11.49,3.68,52.50,194.00
11.52,3.68,53.40,196.00
11.55,3.68,53.50,196.00
11.58,3.68,54.30,196.00
11.61,3.66,132.40,468.00
11.61,3.68,54.40,200.00
11.64,3.68,55.60,200.00
11.67,3.68,52.60,194.00
11.70,3.68,53.90,196.00
11.73,3.66,128.20,468.00
11.73,3.68,53.40,196.00
11.76,3.68,55.30,200.00
11.79,3.68,52.80,190.00
11.82,3.68,54.90,200.00
11.85,3.66,130.20,468.00
11.85,3.68,52.20,190.00
11.88,3.68,54.50,200.00
11.91,3.68,53.20,196.00
11.94,3.68,53.80,196.00
11.97,3.66,133.60,478.00
11.97,3.68,52.30,190.00
12.00,3.68,54.40,196.00
12.03,3.68,53.90,196.00
12.06,3.68,52.40,194.00
12.09,3.67,128.90,472.00
12.09,3.68,53.40,196.00
12.12,3.68,53.90,196.00
12.15,3.68,54.80,200.00
12.18,3.68,53.80,196.00
12.21,3.66,129.80,472.00
12.21,3.68,53.00,194.00
12.24,3.68,52.90,194.00
12.27,3.68,52.80,194.00
12.30,3.68,53.50,196.00
12.33,3.66,132.50,468.00
12.33,3.68,53.60,196.00
12.36,3.68,55.00,200.00
12.39,3.68,55.50,200.00
12.45,3.68,52.40,194.00
12.45,3.66,129.30,472.00
12.45,3.68,52.40,194.00
12.48,3.68,53.70,196.00
12.51,3.68,55.30,200.00
12.54,3.67,52.50,190.00
12.57,3.66,129.70,468.00
12.57,3.68,54.00,200.00
12.60,3.68,52.20,194.00
12.66,3.68,54.30,200.00
12.69,3.68,53.40,196.00
12.69,3.66,132.10,482.00
12.69,3.68,55.20,200.00
12.75,3.68,52.50,190.00
12.75,3.68,54.30,200.00
12.78,3.68,53.90,196.00
12.81,3.66,126.60,462.00
12.81,3.68,53.60,196.00
12.84,3.68,53.40,196.00
12.87,3.68,53.90,196.00
12.90,3.68,54.50,200.00
12.93,3.66,129.20,472.00
12.93,3.68,55.30,200.00
12.96,3.68,52.90,194.00
12.99,3.68,53.50,196.00
13.02,3.68,52.30,194.00
13.05,3.66,131.70,478.00
13.05,3.68,55.30,200.00
13.08,3.68,53.50,194.00
13.11,3.68,55.10,200.00
13.17,3.68,55.50,200.00
13.17,3.66,127.80,466.00
13.17,3.68,54.30,200.00
13.20,3.68,52.50,194.00
13.23,3.68,53.60,196.00
13.26,3.68,55.40,204.00
13.29,3.66,128.60,462.00
13.29,3.68,54.30,200.00
13.33,3.68,54.00,200.00
13.36,3.68,52.10,190.00
13.38,3.68,54.00,200.00
13.41,3.67,131.50,478.00
13.41,3.68,54.10,200.00
13.44,3.68,55.00,200.00
13.47,3.68,53.30,194.00
