Time_s,Voltage_V,Current_mA,Power_mW
9.75,3.70,-76.40,286.00
9.75,3.72,-65.60,242.00
9.75,3.72,-76.40,286.00
9.78,3.73,-94.90,354.00
9.81,3.73,-94.70,354.00
9.84,3.71,-88.70,350.00
9.87,3.69,50.20,0.00
9.87,3.73,-94.80,358.00
9.90,3.72,-94.90,358.00
9.93,3.73,-93.80,354.00
9.96,3.69,-94.40,354.00
9.99,3.68,-31.80,118.00
9.99,3.72,-96.10,358.00
10.02,3.73,-95.60,358.00
10.05,3.72,-94.20,350.00
10.08,3.70,-94.60,354.00
10.08,3.70,57.00,210.00
10.11,3.72,-94.60,354.00
10.14,3.72,-94.10,354.00
10.17,3.72,-93.40,350.00
10.20,3.69,-84.70,354.00
10.23,3.68,55.90,42.00
10.23,3.72,-94.20,350.00
10.26,3.72,-93.10,354.00
10.32,3.72,-94.60,354.00
10.32,3.70,-76.80,286.00
10.32,3.72,-65.00,240.00
10.35,3.73,-94.40,354.00
10.38,3.73,-96.10,358.00
10.44,3.73,-95.10,354.00
10.44,3.73,-76.00,282.00
10.44,3.72,-73.70,0.00
10.50,3.72,-93.40,350.00
10.50,3.72,-76.10,286.00
10.53,3.72,-94.60,354.00
10.56,3.69,-50.10,354.00
10.62,3.69,57.90,132.00
10.62,3.72,-94.50,354.00
10.62,3.72,-77.10,288.00
10.68,3.72,-95.10,354.00
10.68,3.70,-75.00,278.00
10.68,3.72,-75.50,278.00
10.74,3.73,-94.90,354.00
10.74,3.72,-75.40,282.00
10.77,3.72,-93.30,350.00
10.80,3.70,-86.30,360.00
10.83,3.69,56.20,32.00
10.83,3.72,-94.30,354.00
10.89,3.73,-94.20,354.00
10.89,3.72,-73.80,282.00
10.92,3.69,-88.50,330.00
10.95,3.68,-39.20,144.00
10.95,3.72,-94.70,354.00
10.98,3.72,-94.50,354.00
11.01,3.73,-95.40,358.00
11.04,3.71,-93.60,350.00
11.04,3.67,58.50,0.00
11.07,3.73,-93.40,350.00
11.10,3.72,-93.70,350.00
11.16,3.72,-96.00,360.00
11.16,3.72,-75.00,282.00
11.16,3.72,-74.90,104.00
11.22,3.72,-93.40,354.00
11.22,3.72,-74.90,278.00
11.25,3.73,-96.00,358.00
11.28,3.70,-94.00,350.00
11.34,3.71,58.40,216.00
11.34,3.72,-96.10,360.00
11.34,3.72,-75.80,282.00
11.37,3.72,-94.30,350.00
11.43,3.70,-85.30,348.00
11.43,3.69,-52.10,20.00
11.43,3.72,-76.60,288.00
11.46,3.72,-93.80,350.00
11.52,3.72,-93.40,354.00
11.52,3.71,-73.70,282.00
11.52,3.72,-57.70,212.00
11.55,3.73,-95.90,358.00
11.58,3.73,-94.30,350.00
11.64,3.72,-94.50,354.00
11.64,3.70,-76.80,286.00
11.64,3.72,-73.50,272.00
11.67,3.72,-94.50,354.00
11.73,3.72,-93.20,350.00
11.73,3.72,-74.60,278.00
11.76,3.70,49.40,354.00
11.79,3.69,56.00,88.00
11.79,3.72,-94.10,354.00
11.82,3.72,-93.20,350.00
11.85,3.72,-95.20,354.00
11.88,3.69,-94.60,354.00
11.94,3.68,-60.40,222.00
11.94,3.72,-94.80,354.00
11.94,3.72,-76.80,286.00
12.00,3.73,-94.60,354.00
12.00,3.72,-75.10,278.00
12.00,3.72,-71.20,6.00
12.06,3.72,-94.10,350.00
12.06,3.72,-76.80,288.00
12.09,3.73,-93.10,350.00
12.12,3.70,-91.10,340.00
12.12,3.68,-44.20,164.00
12.18,3.72,-95.30,358.00
