Time_s,Voltage_V,Current_mA,Power_mW
11.58,4.06,52.80,212.00
11.61,4.04,127.60,514.00
11.61,4.06,51.60,210.00
11.67,4.06,53.00,216.00
11.67,4.07,54.90,220.00
11.70,4.06,51.40,206.00
11.73,4.04,130.60,522.00
11.73,4.06,52.60,212.00
11.79,4.06,52.50,212.00
11.79,4.06,51.90,210.00
11.82,4.06,53.00,216.00
11.85,4.04,133.00,502.00
11.85,4.06,51.40,210.00
11.88,4.06,53.40,220.00
11.91,4.06,51.70,210.00
11.94,4.06,53.40,216.00
11.97,4.05,127.10,512.00
11.97,4.06,52.70,212.00
12.00,4.07,54.50,220.00
12.03,4.07,51.90,212.00
12.06,4.06,53.80,216.00
12.09,4.04,127.10,514.00
12.09,4.06,53.30,216.00
12.12,4.06,52.20,212.00
12.15,4.06,52.80,212.00
12.18,4.07,54.10,216.00
12.21,4.04,130.40,518.00
12.21,4.06,54.30,216.00
12.24,4.06,51.50,210.00
12.27,4.06,53.40,216.00
12.30,4.07,52.60,212.00
12.33,4.04,131.50,492.00
12.33,4.07,53.10,212.00
12.36,4.07,53.10,220.00
12.39,4.06,54.80,216.00
12.42,4.06,51.50,210.00
12.45,4.04,128.20,518.00
12.45,4.06,53.10,216.00
12.48,4.06,53.20,212.00
12.51,4.07,52.50,210.00
12.54,4.06,53.60,216.00
12.57,4.04,128.80,518.00
12.57,4.06,51.60,210.00
12.60,4.06,53.10,216.00
12.63,4.06,53.00,216.00
12.66,4.06,53.10,216.00
12.69,4.04,130.00,494.00
12.69,4.06,53.50,220.00
12.72,4.06,53.40,216.00
12.75,4.06,51.60,210.00
12.78,4.06,52.70,212.00
12.81,4.05,130.80,528.00
12.81,4.07,54.50,220.00
12.84,4.07,51.70,206.00
12.87,4.06,53.50,216.00
12.90,4.06,53.20,216.00
12.93,4.04,127.20,514.00
12.93,4.06,52.10,212.00
12.96,4.06,52.60,212.00
13.02,4.06,54.60,220.00
13.08,4.06,51.20,206.00
13.08,4.04,128.00,514.00
13.08,4.06,52.50,212.00
13.08,4.06,52.50,212.00
13.11,4.06,51.70,210.00
13.14,4.06,52.80,212.00
13.17,4.04,132.80,502.00
13.17,4.07,51.30,206.00
13.20,4.06,53.90,216.00
13.23,4.06,52.20,212.00
13.26,4.06,53.10,216.00
13.29,4.05,128.50,518.00
13.29,4.06,53.00,216.00
13.32,4.07,54.60,220.00
13.35,4.06,52.10,212.00
13.38,4.06,53.60,216.00
13.41,4.04,126.20,508.00
13.41,4.06,53.60,216.00
13.44,4.06,52.00,210.00
13.47,4.06,52.60,212.00
13.50,4.06,54.10,216.00
13.53,4.05,129.20,518.00
13.53,4.06,53.70,216.00
13.56,4.06,51.80,210.00
13.59,4.06,53.50,216.00
13.62,4.06,52.50,212.00
13.65,4.05,130.60,492.00
13.65,4.07,53.60,212.00
13.68,4.06,53.20,216.00
13.71,4.06,54.50,216.00
13.74,4.06,51.70,210.00
13.77,4.04,128.30,518.00
13.77,4.06,52.80,212.00
13.80,4.06,53.20,212.00
13.83,4.07,52.60,210.00
13.86,4.06,53.40,216.00
13.89,4.04,128.30,518.00
13.89,4.06,51.30,206.00
13.92,4.06,53.10,216.00
13.95,4.06,52.80,212.00
13.99,4.07,53.20,216.00
14.01,4.04,130.40,494.00
14.01,4.06,53.70,216.00
14.04,4.06,53.70,216.00
14.07,4.06,51.60,210.00
14.10,4.06,53.00,216.00
14.13,4.05,130.80,528.00
14.13,4.06,54.00,220.00
14.16,4.07,51.70,206.00
14.19,4.06,53.80,220.00
14.22,4.06,53.20,216.00
14.25,4.04,127.20,514.00
14.25,4.06,52.40,212.00
14.28,4.06,53.20,216.00
14.31,4.06,54.50,220.00
14.34,4.06,51.50,206.00
14.37,4.04,131.80,522.00
14.37,4.06,53.20,216.00
14.40,4.06,52.30,212.00
14.43,4.06,52.20,212.00
14.46,4.06,52.80,212.00
14.49,4.04,129.30,498.00
14.49,4.06,51.40,206.00
14.52,4.06,53.50,216.00
14.55,4.06,52.10,210.00
14.58,4.06,52.50,212.00
14.61,4.04,125.90,508.00
14.61,4.06,52.90,216.00
14.64,4.07,54.50,220.00
14.67,4.06,51.20,210.00
14.70,4.06,53.50,216.00
