Time_s,Voltage_V,Current_mA,Power_mW
20.30,4.00,153.50,616.00
20.33,4.02,75.20,302.00
20.33,4.01,78.60,314.00
20.36,4.02,72.80,292.00
20.39,4.02,82.20,304.00
20.42,4.00,138.20,420.00
20.42,4.02,81.10,318.00
20.45,4.02,71.00,286.00
20.48,4.01,81.60,328.00
20.51,4.02,72.30,292.00
20.58,4.00,234.50,334.00
20.58,4.02,73.00,298.00
20.58,4.01,81.40,328.00
20.60,4.02,75.80,292.00
20.63,4.02,78.30,314.00
20.66,4.00,218.50,872.00
20.66,4.02,80.50,324.00
20.69,4.02,74.50,292.00
20.72,4.02,77.10,314.00
20.76,4.02,77.20,294.00
20.81,4.00,225.40,894.00
20.82,4.02,72.60,292.00
